epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2124.52,1.42105,1.60791,1.15144,0.67237,0.31239,0.47434,0.28041,1.34045,4.75688,1.16877,0.0804912,0.000197059,0.000197059
2,4263.08,1.30768,1.13128,1.09278,0.59707,0.61943,0.63449,0.40241,1.22247,1.4492,1.1395,0.0606909,0.000396745,0.000396745
3,6316.05,1.29669,1.08057,1.09442,0.58273,0.60969,0.65131,0.42118,1.21279,1.19232,1.09872,0.0408893,0.000595176,0.000595176
4,8406.03,1.29072,1.06485,1.08272,0.65978,0.62949,0.67292,0.43504,1.24368,1.25192,1.14068,0.0210855,0.000791412,0.000791412
5,10529.8,1.27681,1.03662,1.08891,0.69593,0.66181,0.70533,0.43909,1.21945,1.09829,1.11866,0.00127865,0.000984529,0.000984529
6,12641.5,1.24419,0.9813,1.07559,0.55786,0.56617,0.62406,0.38535,1.28737,1.58426,1.14551,0.000980423,0.000980423,0.000980423
7,14637.1,1.27106,0.98774,1.08284,0.69453,0.6394,0.6946,0.4582,1.18709,0.892,1.09073,0.000971911,0.000971911,0.000971911
8,16529.7,1.22835,0.92932,1.07237,0.69169,0.72875,0.73698,0.4709,1.17992,0.94108,1.09556,0.000961931,0.000961931,0.000961931
9,18424.8,1.24245,0.91422,1.07574,0.65506,0.67095,0.69765,0.45076,1.20807,0.88477,1.11486,0.000950523,0.000950523,0.000950523
10,20340.5,1.23113,0.90412,1.06941,0.69248,0.712,0.7367,0.48265,1.16155,1.2222,1.08055,0.000937731,0.000937731,0.000937731
11,22241.3,1.20693,0.86815,1.05606,0.71843,0.68274,0.73956,0.49331,1.17919,0.86149,1.08437,0.000923607,0.000923607,0.000923607
12,24137.5,1.19273,0.89414,1.05228,0.66322,0.70233,0.70269,0.46685,1.16637,0.93391,1.08862,0.000908205,0.000908205,0.000908205
13,26035.3,1.19066,0.86932,1.05425,0.66861,0.73697,0.7585,0.49596,1.16603,0.87979,1.08974,0.000891587,0.000891587,0.000891587
14,27934,1.18737,0.8473,1.05254,0.70671,0.73384,0.74529,0.49197,1.13431,0.80202,1.06997,0.000873819,0.000873819,0.000873819
15,29828.9,1.1753,0.85236,1.04957,0.7266,0.72498,0.75793,0.48471,1.2137,0.85069,1.1242,0.00085497,0.00085497,0.00085497
16,31726.6,1.16842,0.82003,1.04027,0.74407,0.65636,0.7261,0.48136,1.17101,0.79836,1.0848,0.000835114,0.000835114,0.000835114
17,33626.8,1.16575,0.81873,1.04338,0.72462,0.75183,0.76895,0.51593,1.15386,0.75366,1.08642,0.000814331,0.000814331,0.000814331
