epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,662.43,1.5294,2.4595,1.27836,0.11111,0.09815,0.08485,0.04387,1.86076,3.96956,1.44998,0.0804912,0.000197059,0.000197059
2,1342.39,1.41068,1.74832,1.22072,0.59631,0.43052,0.41142,0.23753,1.37281,1.57407,1.27112,0.0606909,0.000396745,0.000396745
3,2025.49,1.36051,1.48994,1.18899,0.71763,0.55281,0.54534,0.33909,1.20575,1.342,1.17447,0.0408893,0.000595176,0.000595176
4,2718.01,1.3407,1.37553,1.15944,0.65367,0.57775,0.60594,0.3852,1.19833,1.28854,1.13896,0.0210855,0.000791412,0.000791412
5,3407.03,1.3214,1.31423,1.16091,0.7246,0.60552,0.65519,0.39439,1.26544,1.12063,1.15767,0.00127865,0.000984529,0.000984529
6,4080.27,1.28314,1.20265,1.13424,0.67073,0.65045,0.68226,0.44024,1.19102,1.21522,1.13322,0.000980423,0.000980423,0.000980423
7,4749.21,1.28826,1.19158,1.13611,0.60248,0.67225,0.65686,0.41347,1.20494,1.01221,1.1282,0.000971911,0.000971911,0.000971911
8,5419.28,1.26463,1.14255,1.11684,0.6912,0.65019,0.70121,0.44376,1.18959,0.97344,1.12963,0.000961931,0.000961931,0.000961931
9,6090.26,1.26945,1.10115,1.11796,0.66532,0.68795,0.70099,0.45003,1.2057,1.00011,1.1115,0.000950523,0.000950523,0.000950523
10,6761.55,1.26337,1.06711,1.11449,0.72587,0.70646,0.74239,0.48117,1.17811,0.95789,1.10273,0.000937731,0.000937731,0.000937731
11,7432.05,1.24164,1.04829,1.09676,0.67697,0.72214,0.72031,0.46366,1.20118,0.9029,1.10958,0.000923607,0.000923607,0.000923607
12,8102.1,1.23387,1.06501,1.10063,0.69995,0.70882,0.74025,0.46949,1.17588,0.89247,1.10188,0.000908205,0.000908205,0.000908205
13,8768.23,1.2335,1.0291,1.09947,0.72046,0.70195,0.7324,0.48173,1.15156,0.94753,1.09406,0.000891587,0.000891587,0.000891587
14,9433.2,1.23411,1.012,1.0971,0.71604,0.65787,0.71419,0.4837,1.13902,0.90773,1.08572,0.000873819,0.000873819,0.000873819
15,10099.4,1.21811,0.99609,1.09471,0.7085,0.68391,0.7226,0.46218,1.15834,1.0171,1.08825,0.00085497,0.00085497,0.00085497
16,10765.5,1.22585,0.97549,1.08941,0.6621,0.77406,0.75421,0.49472,1.15775,0.86949,1.10046,0.000835114,0.000835114,0.000835114
17,11432.9,1.21599,0.97336,1.09072,0.68984,0.73932,0.75344,0.48914,1.14429,0.84408,1.08444,0.000814331,0.000814331,0.000814331
18,12098.9,1.19399,0.94642,1.07662,0.74773,0.69368,0.74386,0.48678,1.1653,0.84673,1.08832,0.000792701,0.000792701,0.000792701
19,12763.8,1.20088,0.93958,1.07718,0.73218,0.6932,0.74892,0.47569,1.20605,0.85453,1.12359,0.000770312,0.000770312,0.000770312
20,13430.1,1.18745,0.93605,1.07364,0.72316,0.70806,0.75368,0.48866,1.20883,0.82669,1.12625,0.00074725,0.00074725,0.00074725
21,14099.1,1.20342,0.91225,1.0764,0.76128,0.70672,0.76359,0.49925,1.15685,0.80091,1.08779,0.000723607,0.000723607,0.000723607
22,14771.8,1.18298,0.90449,1.07412,0.71948,0.6949,0.75047,0.4941,1.14087,0.81419,1.0738,0.000699476,0.000699476,0.000699476
23,15442.3,1.17782,0.89189,1.06745,0.72408,0.71433,0.76766,0.50917,1.14904,0.78786,1.08228,0.000674953,0.000674953,0.000674953
24,16114.6,1.1662,0.87686,1.05749,0.72921,0.71425,0.76832,0.51026,1.14549,0.78312,1.07181,0.000650133,0.000650133,0.000650133
25,16789.1,1.17361,0.88207,1.05607,0.68804,0.73889,0.75672,0.50036,1.15558,0.78536,1.08125,0.000625116,0.000625116,0.000625116
