epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,17460.9,1.15854,0.8555,1.05709,0.7036,0.73216,0.75414,0.50564,1.13817,0.79743,1.06685,0.0006,0.0006,0.0006
27,18132.8,1.15914,0.86926,1.05949,0.69537,0.76366,0.76276,0.50041,1.16806,0.82218,1.09576,0.000574884,0.000574884,0.000574884
28,18804.3,1.15548,0.85276,1.058,0.72837,0.71672,0.75496,0.50752,1.14152,0.83607,1.07462,0.000549867,0.000549867,0.000549867
29,19479.7,1.15001,0.84898,1.05339,0.73808,0.76637,0.78096,0.51489,1.13716,0.76084,1.07064,0.000525047,0.000525047,0.000525047
30,20159.1,1.15297,0.85979,1.05057,0.78983,0.69164,0.7738,0.51515,1.14939,0.77146,1.07166,0.000500524,0.000500524,0.000500524
31,20838.4,1.15274,0.83791,1.0509,0.71657,0.74154,0.77123,0.51016,1.15407,0.80474,1.08038,0.000476393,0.000476393,0.000476393
32,21510,1.13833,0.83207,1.04478,0.71832,0.75407,0.78624,0.52027,1.15821,0.7782,1.07799,0.00045275,0.00045275,0.00045275
33,22182,1.14305,0.8224,1.04535,0.77436,0.70088,0.77295,0.51887,1.14726,0.75473,1.06762,0.000429688,0.000429688,0.000429688
34,22853.2,1.15146,0.82685,1.04998,0.69873,0.78255,0.77806,0.53144,1.13722,0.75596,1.06735,0.000407299,0.000407299,0.000407299
35,23518.7,1.12817,0.80967,1.03629,0.66964,0.79993,0.77714,0.52108,1.14031,0.75254,1.07539,0.000385669,0.000385669,0.000385669
36,24187.6,1.12197,0.80682,1.03934,0.74509,0.72974,0.77035,0.51707,1.13916,0.78559,1.07457,0.000364886,0.000364886,0.000364886
37,24862.3,1.11709,0.80598,1.03205,0.68924,0.78519,0.7788,0.51611,1.1424,0.85479,1.07135,0.00034503,0.00034503,0.00034503
38,25542.6,1.12359,0.79506,1.03805,0.7374,0.757,0.79168,0.53401,1.1358,0.73269,1.07186,0.000326181,0.000326181,0.000326181
39,26219.7,1.10891,0.78616,1.03144,0.68439,0.82894,0.78864,0.5349,1.12753,0.72685,1.06185,0.000308413,0.000308413,0.000308413
40,26894,1.11406,0.77482,1.03262,0.73817,0.74421,0.77515,0.51909,1.14733,0.73775,1.07207,0.000291795,0.000291795,0.000291795
41,27559.9,1.02164,0.68455,1.00413,0.69927,0.76669,0.76943,0.5035,1.17093,0.77183,1.09492,0.000276393,0.000276393,0.000276393
42,28220.6,1.00028,0.64613,0.98734,0.72075,0.76671,0.78106,0.51277,1.14753,0.75294,1.07461,0.000262269,0.000262269,0.000262269
43,28874.6,0.99132,0.62905,0.98413,0.75318,0.75305,0.78051,0.52476,1.12063,0.74667,1.06067,0.000249477,0.000249477,0.000249477
44,29527.4,0.98209,0.61282,0.97999,0.78664,0.73591,0.78295,0.5266,1.13897,0.7354,1.06634,0.000238069,0.000238069,0.000238069
45,30182.6,0.97901,0.61441,0.98174,0.77485,0.73156,0.78019,0.52725,1.13462,0.73153,1.0633,0.000228089,0.000228089,0.000228089
46,30836.7,0.97755,0.59861,0.97736,0.78646,0.73217,0.80262,0.52869,1.13952,0.71979,1.07217,0.000219577,0.000219577,0.000219577
47,31490.4,0.97026,0.59357,0.98293,0.71802,0.79435,0.7918,0.52008,1.14507,0.76192,1.07871,0.000212567,0.000212567,0.000212567
48,32140.8,0.96123,0.5743,0.97385,0.71967,0.73763,0.78248,0.51992,1.13669,0.72681,1.071,0.000207085,0.000207085,0.000207085
49,32794.3,0.95892,0.57423,0.97232,0.75977,0.75861,0.77155,0.51171,1.15104,0.73742,1.08255,0.000203154,0.000203154,0.000203154
50,33448.7,0.95384,0.56465,0.96943,0.71303,0.77152,0.78458,0.52239,1.14048,0.72081,1.06834,0.000200789,0.000200789,0.000200789
