Image Name,PCA 1_orig,Cluster_orig,Image Path_orig,img_path_orig,PCA 1_mask,Cluster_mask,Image Path_mask,img_path_mask,Combined Cluster,Combined Cluster Label,Missing Teeth Ratio,Darkness Ratio,Missing Teeth Ratio (Norm),Darkness Ratio (Norm)
0287_jpg.rf.34304fa9a9ae3c63fb3519acbb6af802.jpg,0.105722785,4,/Volumes/L/L_PHAS0077/assets/source_img/0287_jpg.rf.34304fa9a9ae3c63fb3519acbb6af802.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0287_jpg.rf.34304fa9a9ae3c63fb3519acbb6af802.jpg,-0.034662776,3,/Volumes/L/L_PHAS0077/assets/output_images_mask/0287_jpg.rf.34304fa9a9ae3c63fb3519acbb6af802.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0287_jpg.rf.34304fa9a9ae3c63fb3519acbb6af802.jpg,1,Cluster 1,0.90155029296875,0.13495635986328125,0.685556464811784,0.32270806031857363
0288_jpg.rf.7576a9c760c217036a5ab1a7db10d2c7.jpg,-0.20288636,2,/Volumes/L/L_PHAS0077/assets/source_img/0288_jpg.rf.7576a9c760c217036a5ab1a7db10d2c7.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0288_jpg.rf.7576a9c760c217036a5ab1a7db10d2c7.jpg,-0.036996394,3,/Volumes/L/L_PHAS0077/assets/output_images_mask/0288_jpg.rf.7576a9c760c217036a5ab1a7db10d2c7.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0288_jpg.rf.7576a9c760c217036a5ab1a7db10d2c7.jpg,3,Cluster 3,0.887939453125,0.05564117431640625,0.6399345335515548,0.13082559663338195
0291_jpg.rf.beb0d60e74991813ed9a3434d030cce1.jpg,0.018213294,4,/Volumes/L/L_PHAS0077/assets/source_img/0291_jpg.rf.beb0d60e74991813ed9a3434d030cce1.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0291_jpg.rf.beb0d60e74991813ed9a3434d030cce1.jpg,-0.03084859,3,/Volumes/L/L_PHAS0077/assets/output_images_mask/0291_jpg.rf.beb0d60e74991813ed9a3434d030cce1.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0291_jpg.rf.beb0d60e74991813ed9a3434d030cce1.jpg,1,Cluster 1,0.88494873046875,0.10406494140625,0.6299099836333879,0.24797430738847154
0291_jpg.rf.bfc887aafd0d7c6492d25a022018f8ed.jpg,0.018242797,4,/Volumes/L/L_PHAS0077/assets/source_img/0291_jpg.rf.bfc887aafd0d7c6492d25a022018f8ed.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0291_jpg.rf.bfc887aafd0d7c6492d25a022018f8ed.jpg,-0.041006465,3,/Volumes/L/L_PHAS0077/assets/output_images_mask/0291_jpg.rf.bfc887aafd0d7c6492d25a022018f8ed.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0291_jpg.rf.bfc887aafd0d7c6492d25a022018f8ed.jpg,1,Cluster 1,0.9000244140625,0.10406494140625,0.6804418985270049,0.24797430738847154
0295_jpg.rf.61f320e813afea89307b5b96c017b640.jpg,0.13685523,4,/Volumes/L/L_PHAS0077/assets/source_img/0295_jpg.rf.61f320e813afea89307b5b96c017b640.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0295_jpg.rf.61f320e813afea89307b5b96c017b640.jpg,-0.027644176,3,/Volumes/L/L_PHAS0077/assets/output_images_mask/0295_jpg.rf.61f320e813afea89307b5b96c017b640.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0295_jpg.rf.61f320e813afea89307b5b96c017b640.jpg,1,Cluster 1,0.8878173828125,0.14255523681640625,0.6395253682487725,0.3410915668432418
0295_jpg.rf.9de4953c45ed3acdff06b1afb1138f45.jpg,0.13685523,4,/Volumes/L/L_PHAS0077/assets/source_img/0295_jpg.rf.9de4953c45ed3acdff06b1afb1138f45.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0295_jpg.rf.9de4953c45ed3acdff06b1afb1138f45.jpg,-0.03642051,3,/Volumes/L/L_PHAS0077/assets/output_images_mask/0295_jpg.rf.9de4953c45ed3acdff06b1afb1138f45.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0295_jpg.rf.9de4953c45ed3acdff06b1afb1138f45.jpg,1,Cluster 1,0.890869140625,0.14255523681640625,0.6497545008183306,0.3410915668432418
0297_jpg.rf.e50e81d8f74e22fdde118ca9d52e0627.jpg,-0.24015339,3,/Volumes/L/L_PHAS0077/assets/source_img/0297_jpg.rf.e50e81d8f74e22fdde118ca9d52e0627.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0297_jpg.rf.e50e81d8f74e22fdde118ca9d52e0627.jpg,0.029681519,4,/Volumes/L/L_PHAS0077/assets/output_images_mask/0297_jpg.rf.e50e81d8f74e22fdde118ca9d52e0627.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0297_jpg.rf.e50e81d8f74e22fdde118ca9d52e0627.jpg,3,Cluster 3,0.8289794921875,0.03740692138671875,0.4423076923076923,0.08671256390852544
0298_jpg.rf.ecc80db88bce7954304f746c8536ad1f.jpg,-0.1422858,2,/Volumes/L/L_PHAS0077/assets/source_img/0298_jpg.rf.ecc80db88bce7954304f746c8536ad1f.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0298_jpg.rf.ecc80db88bce7954304f746c8536ad1f.jpg,0.12180002,1,/Volumes/L/L_PHAS0077/assets/output_images_mask/0298_jpg.rf.ecc80db88bce7954304f746c8536ad1f.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0298_jpg.rf.ecc80db88bce7954304f746c8536ad1f.jpg,2,Cluster 2,0.7322998046875,0.07854461669921875,0.11824877250409166,0.1862345189095406
0300_jpg.rf.54bc5b91b567b98224b6fab8cbb6677e.jpg,0.03967504,2,/Volumes/L/L_PHAS0077/assets/source_img/0300_jpg.rf.54bc5b91b567b98224b6fab8cbb6677e.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0300_jpg.rf.54bc5b91b567b98224b6fab8cbb6677e.jpg,0.006500777,0,/Volumes/L/L_PHAS0077/assets/output_images_mask/0300_jpg.rf.54bc5b91b567b98224b6fab8cbb6677e.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0300_jpg.rf.54bc5b91b567b98224b6fab8cbb6677e.jpg,1,Cluster 1,0.85357666015625,0.1711273193359375,0.5247545008183306,0.41021428966942913
0300_jpg.rf.79aa205f92083ebff3610e92ff8df60c.jpg,0.039729085,2,/Volumes/L/L_PHAS0077/assets/source_img/0300_jpg.rf.79aa205f92083ebff3610e92ff8df60c.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0300_jpg.rf.79aa205f92083ebff3610e92ff8df60c.jpg,-0.00558744,0,/Volumes/L/L_PHAS0077/assets/output_images_mask/0300_jpg.rf.79aa205f92083ebff3610e92ff8df60c.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0300_jpg.rf.79aa205f92083ebff3610e92ff8df60c.jpg,1,Cluster 1,0.8597412109375,0.1710968017578125,0.545417348608838,0.4101404603259565
