class,case,img,idx,conf,occ_hf,occ_cv,lime_hf,lime_cv,rise_hf,rise_cv
Cavity,TP,0003_jpg.rf.ca9d51a22c825737b49a5f73d3172d23.jpg,1,0.9198804497718812,0.5430968726163234,0.6309260079751883,0.5196770938446014,0.4563579973416038,0.6966463414634146,0.2024811696942844
Cavity,TP,0078_jpg.rf.3df5e76aaf3853ffeb55283ed9666c1e.jpg,2,0.8962271213531494,0.3337147215865751,1.0,0.3330795584316711,1.0,0.9527439024390244,0.7142857142857143
Cavity,TP,0098_jpg.rf.66a48777bc22515364d7b419d5441796.jpg,3,0.8699735999107361,0.3993135011441647,0.9694444444444444,0.2855108579565681,0.7425925925925926,0.7652439024390244,0.4648148148148148
Cavity,TP,0279_jpg.rf.f9fc5ccc0b96b00196e66140fb678fda.jpg,4,0.8033503293991089,0.3230358504958047,0.3666666666666666,0.0,0.0,0.9847560975609756,0.2796536796536796
Cavity,TP,0438_jpg.rf.9dbb3efde489184f10e92c8e142447db.jpg,5,0.8041330575942993,0.5183066361556065,0.9244897959183672,0.529886914378029,0.8925170068027211,0.5975609756097561,0.2666666666666666
Cavity,TP,0463_jpg.rf.adc570a9de38c884cdf7820e5420b0e4.jpg,6,0.5424224138259888,0.167810831426392,1.0,0.0,0.0,0.0,0.0
Cavity,TP,0470_jpg.rf.0a8b72d0887e6c7ba3839d8998f7b677.jpg,7,0.9220376014709472,0.4786422578184592,0.8913352272727273,0.5523986958546809,0.8423295454545454,0.992378048780488,0.4623579545454545
Cavity,TP,0470_jpg.rf.0a8b72d0887e6c7ba3839d8998f7b677.jpg,8,0.8828042149543762,0.391304347826087,0.5277777777777778,0.487787356321839,0.3492798353909465,0.8262839879154078,0.2813786008230453
Cavity,TP,0511_jpg.rf.b1326c3c6b6a7912bf59256595ad5ab6.jpg,9,0.7787832021713257,0.3215102974828375,0.8363095238095238,0.3814852492370295,0.7440476190476191,0.8932926829268293,0.5813492063492064
Cavity,TP,0511_jpg.rf.b1326c3c6b6a7912bf59256595ad5ab6.jpg,10,0.7240890860557556,0.1952707856598017,1.0,0.1578471279963817,0.681640625,0.4512195121951219,0.578125
Cavity,TP,0536_jpg.rf.3a7e13dd78ae4edccebbd4f97dc8271e.jpg,11,0.7958878874778748,0.1876430205949656,0.8,0.1442272224271486,0.6357723577235772,0.6524390243902439,0.6959349593495935
Cavity,TP,0617_jpg.rf.bbcd86b6387215a385318b45c70b271c.jpg,12,0.8661060929298401,0.3089244851258581,1.0,0.2506902263942573,0.5604938271604938,0.6417682926829268,0.519753086419753
Cavity,TP,0617_jpg.rf.bbcd86b6387215a385318b45c70b271c.jpg,13,0.8127207159996033,0.1922196796338672,1.0,0.1907630522088353,0.753968253968254,0.3597560975609756,0.4682539682539682
Cavity,TP,0617_jpg.rf.bbcd86b6387215a385318b45c70b271c.jpg,14,0.7620535492897034,0.1784897025171624,1.0,0.1925996204933586,0.8675213675213675,0.3536585365853658,0.4957264957264957
Cavity,TP,0617_jpg.rf.bbcd86b6387215a385318b45c70b271c.jpg,15,0.7217750549316406,0.1479786422578184,0.7607843137254902,0.1224415204678362,0.6568627450980392,0.4984756097560975,0.6411764705882353
Cavity,TP,0617_jpg.rf.bbcd86b6387215a385318b45c70b271c.jpg,16,0.6771416068077087,0.0961098398169336,1.0,0.0560498220640569,0.5,0.0,0.0
Cavity,TP,0617_jpg.rf.bbcd86b6387215a385318b45c70b271c.jpg,17,0.6584158539772034,0.1567505720823798,0.9470046082949308,0.1182510765154024,0.8225806451612904,0.1996951219512195,0.3018433179723502
Cavity,TP,0617_jpg.rf.bbcd86b6387215a385318b45c70b271c.jpg,18,0.6019535660743713,0.1281464530892448,1.0,0.0347658136166103,0.2142857142857142,0.0,0.0
Cavity,TP,0617_jpg.rf.bbcd86b6387215a385318b45c70b271c.jpg,19,0.5759774446487427,0.2330282227307399,0.9934959349593496,0.2594876660341556,0.8894308943089431,0.5198170731707317,0.5544715447154471
Cavity,TP,0617_jpg.rf.bbcd86b6387215a385318b45c70b271c.jpg,20,0.5366220474243164,0.125858123569794,1.0,0.1037414965986394,0.7393939393939394,0.4405487804878049,0.8757575757575757
Cavity,TP,0629_jpg.rf.2f5a6732631d74f4f203bbf8eaaab7d3.jpg,21,0.9193456768989564,0.6437833714721587,0.8978723404255319,0.5915109034267912,0.8079787234042554,0.0762195121951219,0.026595744680851
Cavity,TP,0650_jpg.rf.bbef60fb0c8590801e7d18f0eaaa6261.jpg,22,0.8675866723060608,0.2402745995423341,0.9722222222222222,0.1700197238658777,0.6651234567901234,0.6326219512195121,0.6404320987654321
Cavity,TP,0650_jpg.rf.bbef60fb0c8590801e7d18f0eaaa6261.jpg,23,0.6645179986953735,0.1834477498093058,0.9756592292089248,0.2538307794803464,0.7728194726166329,0.7271341463414634,0.9675456389452332
Cavity,TP,0670_jpg.rf.309929b1e0aef6e50568c7eacccfc5eb.jpg,24,0.6151811480522156,0.202135774218154,0.8412698412698413,0.2534701267350633,0.6666666666666666,0.4756097560975609,0.4952380952380952
Cavity,TP,0985_jpg.rf.2031b8f3a0c8c59ce626d7cc1a73c69e.jpg,25,0.7675961256027222,0.4164759725400457,1.0,0.0,0.0,0.899390243902439,0.5402930402930403
Cavity,TP,0997_jpg.rf.0b8eb321c8d305e59a0fee63c5d88097.jpg,26,0.6628425717353821,0.0041952707856598,0.0161764705882352,0.0,0.0,0.4298780487804878,0.4147058823529412
Cavity,FP,0003_jpg.rf.ca9d51a22c825737b49a5f73d3172d23.jpg,1,0.6141651272773743,0.1781083142639206,0.2092293906810035,0.1899761336515513,0.1783154121863799,0.5807926829268293,0.1706989247311827
Cavity,FP,0003_jpg.rf.ca9d51a22c825737b49a5f73d3172d23.jpg,2,0.5229531526565552,0.0717009916094584,0.1212121212121212,0.4756756756756757,0.624113475177305,0.8826219512195121,0.3733075435203095
Cavity,FP,0056_jpg.rf.6719f5b67f55726778c11022c690ee7f.jpg,3,0.6204181909561157,0.3443935926773455,0.676911544227886,0.0,0.0,0.3960546282245827,0.1956521739130435
Cavity,FP,0073_jpg.rf.0a3fc448611ebb614d068de0e7bf25a6.jpg,4,0.7744278311729431,0.5377574370709383,0.9215686274509804,0.0,0.0,0.0182926829268292,0.0078431372549019
Cavity,FP,0073_jpg.rf.0a3fc448611ebb614d068de0e7bf25a6.jpg,5,0.6902365684509277,0.2486651411136537,0.7494252873563219,0.0046598322460391,0.0114942528735632,0.5335365853658537,0.4022988505747126
Cavity,FP,0103_jpg.rf.a880b4c4b3b709f060808bf114dc93ca.jpg,6,0.6070623993873596,0.1422578184591914,0.9255583126550868,0.1087899093417422,0.684863523573201,0.4481707317073171,0.7295285359801489
Cavity,FP,0103_jpg.rf.a880b4c4b3b709f060808bf114dc93ca.jpg,7,0.5068745613098145,0.1052631578947368,1.0,0.0556701030927835,0.5869565217391305,0.0303030303030303,0.072463768115942
Cavity,FP,0103_jpg.rf.a880b4c4b3b709f060808bf114dc93ca.jpg,8,0.4878460168838501,0.049580472921434,0.074370709382151,0.0,0.0,1.0,0.3752860411899313
Cavity,FP,0174_jpg.rf.ee4210bb5799f6fb0f645af4e46d1a84.jpg,9,0.3079826235771179,0.0976353928299008,0.5505376344086022,0.0,0.0,0.3643292682926829,0.513978494623656
Cavity,FP,0249_jpg.rf.5b54abe672fb6b47fa1399636d0d6aa0.jpg,10,0.4216342270374298,0.0045662100456621,0.0068571428571428,0.3746290801186943,0.5771428571428572,0.972560975609756,0.3645714285714285
Cavity,FP,0279_jpg.rf.f9fc5ccc0b96b00196e66140fb678fda.jpg,11,0.7762389183044434,0.505720823798627,0.8185185185185185,0.0,0.0,0.2698170731707317,0.1092592592592592
Cavity,FP,0314_jpg.rf.f8ddf542c45d8c5eb4cb49433fdad7dd.jpg,12,0.635482132434845,0.2837528604118993,1.0,0.0,0.0,0.0853658536585365,0.075268817204301
Cavity,FP,0355_jpg.rf.e3e6daab192a51e715ef9fc3394f2a76.jpg,13,0.3120075762271881,0.1768966831871902,0.9666666666666668,0.0,0.0,0.0,0.0
Cavity,FP,0414_jpg.rf.ded899daadcc1b8415622edb65bdcb8d.jpg,14,0.4936023354530334,0.101067887109077,0.165625,0.3620401337792642,0.54125,1.0,0.41
Cavity,FP,0463_jpg.rf.adc570a9de38c884cdf7820e5420b0e4.jpg,15,0.8149872422218323,0.2391304347826087,1.0,0.0953461975028376,0.2679425837320574,0.6402439024390244,0.6698564593301436
Cavity,FP,0463_jpg.rf.adc570a9de38c884cdf7820e5420b0e4.jpg,16,0.7998862862586975,0.1880244088482074,1.0,0.1382922996333158,0.5354969574036511,0.5060975609756098,0.6734279918864098
Cavity,FP,0463_jpg.rf.adc570a9de38c884cdf7820e5420b0e4.jpg,17,0.6295554041862488,0.2009916094584286,1.0,0.0,0.0,0.573170731707317,0.713472485768501
Cavity,FP,0463_jpg.rf.adc570a9de38c884cdf7820e5420b0e4.jpg,18,0.3010156750679016,0.087719298245614,0.9956709956709956,0.0,0.0,0.0213414634146341,0.0606060606060606
Cavity,FP,0463_jpg.rf.adc570a9de38c884cdf7820e5420b0e4.jpg,19,0.2754002511501312,0.0427154843630816,0.4242424242424242,0.0,0.0,0.1293103448275862,0.3409090909090909
Cavity,FP,0472_jpg.rf.9672cea13e815b91e89d7ceec881e73d.jpg,20,0.441922128200531,0.0141113653699466,0.0194736842105263,0.3561131873998932,0.7021052631578948,0.923780487804878,0.3189473684210526
Cavity,FP,0617_jpg.rf.bbcd86b6387215a385318b45c70b271c.jpg,21,0.6709203124046326,0.1826849733028222,0.7257575757575757,0.1744738628649015,0.7787878787878788,0.2765957446808511,0.2757575757575757
Cavity,FP,0617_jpg.rf.bbcd86b6387215a385318b45c70b271c.jpg,22,0.6346564292907715,0.0720823798627002,1.0,0.0844354018311292,0.8783068783068783,0.1722560975609756,0.5978835978835979
Cavity,FP,0650_jpg.rf.bbef60fb0c8590801e7d18f0eaaa6261.jpg,23,0.8624123334884644,0.3405797101449275,1.0,0.2442817932296432,0.5979843225083986,0.7317073170731707,0.5375139977603584
Cavity,FP,0650_jpg.rf.bbef60fb0c8590801e7d18f0eaaa6261.jpg,24,0.7546170353889465,0.2902364607170099,0.7549603174603174,0.6147479307750188,0.810515873015873,0.8887195121951219,0.5783730158730159
Cavity,FP,0650_jpg.rf.bbef60fb0c8590801e7d18f0eaaa6261.jpg,25,0.7464714050292969,0.1971777269260106,0.5595238095238095,0.0,0.0,0.5487804878048781,0.3896103896103896
Cavity,FP,0658_jpg.rf.36d28be2eeeb712655bc0e7e29c5456c.jpg,26,0.5739029049873352,0.146834477498093,0.2824651504035216,0.3030799475753604,0.6786500366837858,0.9054878048780488,0.4358033749082905
Cavity,FP,0749_jpg.rf.386ef981e0eaf4bb9d14783e626ce5f5.jpg,27,0.309364378452301,0.139206712433257,0.6759259259259259,0.0,0.0,0.0960365853658536,0.1166666666666666
Cavity,FP,0834_jpg.rf.5fd767b97b8d161100ce894254e5783f.jpg,28,0.8432254195213318,0.4279176201372998,0.7906976744186046,0.5828993055555556,0.9464411557434812,0.9161585365853658,0.42353770260747
Cavity,FP,0835_jpg.rf.1c4c9ebcfee3d197b9e06fe7ad79713b.jpg,29,0.5783194899559021,0.146834477498093,0.6936936936936937,0.1389371309482459,0.7207207207207207,0.2835365853658536,0.3351351351351351
Cavity,FP,0835_jpg.rf.1c4c9ebcfee3d197b9e06fe7ad79713b.jpg,30,0.4579653441905975,0.0583524027459954,0.2093023255813953,0.0,0.0,0.5564024390243902,0.4993160054719562
Cavity,FP,0835_jpg.rf.1c4c9ebcfee3d197b9e06fe7ad79713b.jpg,31,0.2782043516635895,0.025735294117647,0.1164241164241164,0.3750798722044728,0.6101871101871101,0.0701219512195122,0.0478170478170478
Cavity,FP,0886_jpg.rf.392b31859a90f6265fe9ae541485d7d5.jpg,32,0.7017415165901184,0.589626239511823,0.657312925170068,0.8295391449194892,0.6352040816326531,0.8048780487804879,0.2244897959183673
