epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,37367.9,1.08528,0.70139,0.98679,0.78625,0.72867,0.78568,0.5301,1.13191,0.71368,1.04164,0.000711596,0.000711596,0.000711596
43,38258.6,1.09692,0.70564,0.98741,0.76813,0.75711,0.78831,0.53542,1.14097,0.76302,1.04488,0.000699476,0.000699476,0.000699476
44,39147.5,1.07877,0.68804,0.97876,0.76414,0.76356,0.79872,0.54417,1.1621,0.71835,1.0503,0.000687257,0.000687257,0.000687257
45,40037.3,1.07408,0.68747,0.98284,0.76268,0.74256,0.78698,0.52257,1.15332,0.72028,1.05094,0.000674953,0.000674953,0.000674953
46,40927.8,1.06711,0.70181,0.98125,0.73639,0.76554,0.79175,0.53962,1.14956,0.72602,1.05476,0.000662574,0.000662574,0.000662574
47,41818.2,1.05867,0.68082,0.97729,0.76251,0.78655,0.79575,0.53591,1.14536,0.71587,1.05351,0.000650133,0.000650133,0.000650133
48,42708.7,1.06869,0.68917,0.97606,0.78298,0.78019,0.8219,0.54479,1.16884,0.68564,1.06115,0.000637643,0.000637643,0.000637643
49,43598.7,1.05032,0.66911,0.97476,0.79094,0.72814,0.79144,0.52382,1.1549,0.73548,1.05785,0.000625116,0.000625116,0.000625116
50,44488,1.05784,0.67646,0.98294,0.73783,0.79849,0.80251,0.52515,1.15182,0.74374,1.04667,0.000612564,0.000612564,0.000612564
51,45377.3,1.05156,0.67062,0.97748,0.78604,0.78691,0.82004,0.53889,1.15379,0.70765,1.0576,0.0006,0.0006,0.0006
52,46267.6,1.04503,0.66428,0.96822,0.7266,0.78681,0.81147,0.54424,1.14402,0.71231,1.05156,0.000587436,0.000587436,0.000587436
53,47158.5,1.04604,0.66386,0.97219,0.80883,0.74058,0.78751,0.52901,1.15545,0.72929,1.05428,0.000574884,0.000574884,0.000574884
54,48048.2,1.04778,0.66405,0.97215,0.81156,0.7488,0.79841,0.52918,1.14907,0.74538,1.05569,0.000562357,0.000562357,0.000562357
55,48938.8,1.04215,0.65295,0.96597,0.79897,0.74203,0.79194,0.53553,1.15006,0.71354,1.05437,0.000549867,0.000549867,0.000549867
56,49828.8,1.02599,0.64102,0.96858,0.78449,0.75646,0.78774,0.52192,1.16244,0.79637,1.06567,0.000537426,0.000537426,0.000537426
57,50719,1.03924,0.6389,0.96855,0.76114,0.78778,0.80984,0.54179,1.15534,0.69582,1.05327,0.000525047,0.000525047,0.000525047
58,51609,1.03918,0.6395,0.96877,0.77342,0.78431,0.80418,0.54521,1.15562,0.72112,1.0559,0.000512743,0.000512743,0.000512743
59,52499.4,1.02831,0.63754,0.96457,0.7982,0.77367,0.80723,0.53216,1.1493,0.69965,1.05123,0.000500524,0.000500524,0.000500524
60,53389.8,1.01826,0.62497,0.9614,0.7556,0.79421,0.8052,0.54437,1.15353,0.68996,1.06031,0.000488404,0.000488404,0.000488404
61,54279.7,1.01737,0.62707,0.9637,0.77452,0.75383,0.79656,0.52824,1.18357,0.70508,1.07274,0.000476393,0.000476393,0.000476393
62,55169,1.01096,0.61803,0.96233,0.80787,0.77333,0.79623,0.53927,1.15383,0.70517,1.05758,0.000464505,0.000464505,0.000464505
63,56059.5,1.00938,0.61637,0.95972,0.79189,0.74929,0.78648,0.53851,1.14631,0.70881,1.05471,0.00045275,0.00045275,0.00045275
64,56950,1.00255,0.60936,0.956,0.76367,0.77562,0.79803,0.53204,1.15756,0.76455,1.06016,0.000441141,0.000441141,0.000441141
65,57839.6,1.00425,0.61953,0.95984,0.76485,0.76567,0.78232,0.52271,1.16576,0.71973,1.06482,0.000429688,0.000429688,0.000429688
66,58730.7,1.00591,0.62511,0.95642,0.7493,0.83078,0.80212,0.52714,1.14996,0.71674,1.05734,0.000418404,0.000418404,0.000418404
67,59620.8,0.99254,0.61092,0.95253,0.82819,0.74579,0.8159,0.54784,1.17342,0.70382,1.06831,0.000407299,0.000407299,0.000407299
68,60510.6,0.99556,0.60954,0.95277,0.81303,0.7489,0.79445,0.53025,1.16659,0.71603,1.06444,0.000396383,0.000396383,0.000396383
69,61400.1,0.99669,0.60804,0.9533,0.78768,0.77017,0.80413,0.53427,1.16237,0.73748,1.06742,0.000385669,0.000385669,0.000385669
70,62290.5,0.9861,0.59602,0.95448,0.8087,0.78506,0.82067,0.54422,1.15671,0.72611,1.06499,0.000375167,0.000375167,0.000375167
71,63181.3,0.98297,0.60106,0.95215,0.7728,0.78885,0.8139,0.54952,1.15097,0.71702,1.05734,0.000364886,0.000364886,0.000364886
72,64071.3,0.97727,0.59877,0.94856,0.79927,0.80244,0.82233,0.55586,1.17035,0.70445,1.06818,0.000354837,0.000354837,0.000354837
73,64968.6,0.96923,0.5781,0.94431,0.77443,0.78873,0.81651,0.54359,1.1726,0.72396,1.07481,0.00034503,0.00034503,0.00034503
74,65870,0.96607,0.57327,0.94063,0.7741,0.76007,0.8004,0.54113,1.1644,0.7045,1.07507,0.000335475,0.000335475,0.000335475
75,69632.3,0.97529,0.58116,0.94449,0.83154,0.75559,0.81045,0.53582,1.17288,0.71015,1.07267,0.000326181,0.000326181,0.000326181
76,70522.8,0.97303,0.58741,0.94595,0.80618,0.76751,0.80551,0.53284,1.16918,0.71046,1.07084,0.000317157,0.000317157,0.000317157
77,71413.6,0.95413,0.57821,0.9376,0.78834,0.79691,0.81926,0.54935,1.15668,0.71861,1.06527,0.000308413,0.000308413,0.000308413
78,72303.6,0.94894,0.56905,0.93666,0.78287,0.77145,0.80217,0.54811,1.16403,0.69554,1.07013,0.000299956,0.000299956,0.000299956
79,73194.3,0.94152,0.56669,0.93626,0.7923,0.7919,0.80617,0.53732,1.16799,0.7068,1.07267,0.000291795,0.000291795,0.000291795
80,74084.5,0.96087,0.57317,0.94015,0.782,0.76861,0.78833,0.52577,1.16678,0.71145,1.07355,0.000283938,0.000283938,0.000283938
81,74977,0.9618,0.56956,0.94339,0.80164,0.75943,0.79716,0.52819,1.1752,0.70438,1.07531,0.000276393,0.000276393,0.000276393
82,75868.9,0.93433,0.55722,0.935,0.74616,0.78624,0.78913,0.52289,1.17279,0.71023,1.0764,0.000269168,0.000269168,0.000269168
83,76762.4,0.95054,0.56908,0.94092,0.78781,0.79487,0.81086,0.54359,1.16725,0.69434,1.07091,0.000262269,0.000262269,0.000262269
84,77658,0.94292,0.55854,0.93925,0.76032,0.76322,0.79441,0.53462,1.17743,0.71084,1.08325,0.000255703,0.000255703,0.000255703
85,78551.3,0.93587,0.5552,0.9343,0.7806,0.75701,0.77543,0.51818,1.17343,0.71349,1.07632,0.000249477,0.000249477,0.000249477
86,79444.5,0.93126,0.54837,0.93041,0.78998,0.7605,0.78545,0.5327,1.16376,0.7063,1.07139,0.000243597,0.000243597,0.000243597
87,80336.7,0.93163,0.55413,0.93504,0.81832,0.75371,0.79668,0.53673,1.16836,0.70255,1.07606,0.000238069,0.000238069,0.000238069
88,81227.3,0.92502,0.55162,0.93522,0.79509,0.76469,0.78925,0.53129,1.16843,0.71514,1.07378,0.000232898,0.000232898,0.000232898
89,82120.2,0.9287,0.55241,0.93088,0.79178,0.77597,0.80158,0.5364,1.17396,0.71266,1.07372,0.000228089,0.000228089,0.000228089
90,83015,0.91263,0.54112,0.93245,0.7691,0.7872,0.80381,0.53294,1.19401,0.74272,1.08423,0.000223648,0.000223648,0.000223648
91,83898.6,0.82182,0.44401,0.89912,0.75278,0.76636,0.78082,0.52085,1.19508,0.7327,1.09547,0.000219577,0.000219577,0.000219577
92,84781,0.79146,0.42022,0.89702,0.83123,0.70643,0.78908,0.52393,1.20821,0.73042,1.0977,0.000215883,0.000215883,0.000215883
93,85662.2,0.78182,0.41284,0.88841,0.76324,0.75763,0.77131,0.51058,1.21948,0.79234,1.1056,0.000212567,0.000212567,0.000212567
94,86544.9,0.78199,0.41139,0.89076,0.78609,0.75543,0.77599,0.51575,1.20454,0.74187,1.0941,0.000209633,0.000209633,0.000209633
95,87428.4,0.77296,0.40978,0.8853,0.78996,0.76282,0.78929,0.53179,1.18777,0.72235,1.08306,0.000207085,0.000207085,0.000207085
96,88313.7,0.76642,0.40859,0.88387,0.79001,0.76212,0.78704,0.5182,1.18923,0.72305,1.09365,0.000204925,0.000204925,0.000204925
97,89195.7,0.76448,0.40315,0.88475,0.82306,0.76258,0.79249,0.5273,1.18272,0.70567,1.08785,0.000203154,0.000203154,0.000203154
98,90412.1,0.75242,0.39135,0.8768,0.83328,0.73173,0.7926,0.51555,1.21192,0.73091,1.10135,0.000201775,0.000201775,0.000201775
99,91290.9,0.7429,0.38585,0.87809,0.837,0.74389,0.80071,0.53774,1.18206,0.73672,1.09953,0.000200789,0.000200789,0.000200789
100,92170.2,0.74201,0.39123,0.87663,0.80826,0.74948,0.78706,0.52207,1.19439,0.76968,1.09945,0.000200197,0.000200197,0.000200197
